,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
10,00--1of1.json,750,0,9.12,233.14,111.64,5.81,0,False
47,02--1of2.json,93833,0,6.97,146.06,71.52,443.96,1,False
54,02--2of2.json,46455,0,6.85,127.65,63.36,194.72,0,False
14,03--1of1.json,11576,0,6.75,104.55,53.16,41.63,0,False
44,04--1of1.json,14844,0,6.73,106.32,54.05,52.97,3,False
50,0b--1of1.json,141949,0,6.97,143.93,70.44,676.98,1,False
11,0c--1of1.json,256,0,11.0,224.0,111.25,2.48,0,False
58,0e--1of1.json,32954,0,6.9,124.43,62.04,135.72,0,False
16,0f--1of1.json,15442,0,6.7,104.28,52.89,55.93,0,False
18,10--1of1.json,384,0,6.01,138.46,67.47,2.08,0,False
7,1b--1of1.json,12869,0,6.84,110.02,55.77,49.03,1,False
60,1d--1of1.json,53107,0,6.97,134.07,66.28,231.42,0,False
28,1e--1of1.json,28236,0,6.99,121.6,60.96,114.53,1,False
3,26--1of1.json,33840,0,6.88,121.71,60.73,139.39,1,False
1,35--1of2.json,16777,0,6.63,102.72,52.01,60.66,0,False
42,35--2of2.json,7,0,12.14,384.29,182.71,0.37,0,False
35,38--1of1.json,11026,0,6.87,111.18,56.38,42.99,0,False
13,3b--1of1.json,450,0,10.0,172.24,87.01,3.1,0,False
46,44--1of1.json,33605,0,6.84,125.11,62.3,141.64,0,False
30,46--1of1.json,4312,0,6.96,251.93,119.67,30.09,0,False
63,48--1of1.json,40000,0,7.84,130.12,64.39,159.61,0,False
15,4d--1of1.json,90,0,8.0,195.02,95.42,0.88,0,False
45,4e--1of1.json,15279,0,6.8,110.97,55.99,56.48,0,False
37,51--1of1.json,15001,0,6.77,110.7,55.99,57.18,0,False
48,54--1of1.json,30000,0,7.82,129.58,64.15,120.11,0,False
40,55--1of2.json,3,0,8.0,278.0,133.67,0.02,0,False
64,55--2of2.json,48,0,10.48,107.5,58.88,0.19,0,False
31,5b--1of1.json,146885,0,6.97,144.17,70.56,696.51,4,False
59,5d--1of1.json,54763,0,6.83,134.0,66.08,233.37,0,False
9,5e--1of1.json,39,0,9.0,122.92,65.56,0.17,0,False
34,67--1of1.json,13736,0,6.75,103.63,52.86,49.23,3,False
41,68--1of3.json,19330,0,6.85,112.38,56.77,75.34,2,False
21,68--2of3.json,12743,0,6.88,112.84,57.15,50.29,0,False
25,68--3of3.json,5760,0,14.98,304.27,148.52,55.46,0,False
17,6a--1of1.json,3,0,10.67,108.0,60.0,0.03,0,False
61,70--1of1.json,43484,0,6.76,128.82,63.83,186.32,0,False
43,71--1of1.json,37039,0,6.8,131.01,64.75,158.35,0,False
33,77--1of1.json,22567,0,6.88,116.19,58.7,87.64,0,False
8,7d--1of1.json,1536,0,10.06,283.62,133.92,13.21,0,False
19,83--1of1.json,18641,0,6.86,113.92,57.52,71.14,0,False
5,84--1of1.json,91345,0,6.89,138.99,68.33,411.24,3,False
26,89--1of1.json,24,0,11.0,309.5,150.75,0.18,0,False
4,8b--1of1.json,19789,0,6.83,112.34,56.73,75.22,1,False
23,8d--1of1.json,27,0,9.04,176.96,86.19,0.16,0,False
62,99--1of1.json,70725,0,6.84,136.25,67.01,312.58,0,False
24,a3--1of1.json,11340,0,6.72,106.57,54.01,41.12,0,False
20,ac--1of1.json,1728,0,7.0,182.22,87.22,9.92,0,False
27,b2--1of1.json,147956,0,6.98,144.17,70.52,695.86,1,False
6,b4--1of1.json,1152,0,12.0,266.12,129.67,10.38,0,False
32,b8--1of1.json,42482,0,6.93,128.2,63.76,185.29,1,False
52,c1--1of1.json,20155,0,6.84,115.37,58.18,76.04,4,False
51,ca--1of1.json,13628,0,6.75,110.54,55.91,49.45,0,False
53,cb--1of1.json,288,0,8.75,219.75,105.42,1.66,0,False
2,cd--1of1.json,119693,0,6.96,141.72,69.48,561.9,2,False
36,d1--1of1.json,100264,0,6.97,139.43,68.57,468.27,0,False
29,d2--1of1.json,1728,0,11.0,227.83,113.75,14.45,0,False
38,d3--1of1.json,264,0,9.68,261.3,125.0,1.72,0,False
57,d9--1of1.json,20176,0,6.85,118.42,59.43,78.41,1,False
55,de--1of1.json,409035,0,7.81,129.97,64.29,1734.75,0,False
49,df--1of1.json,37068,0,6.95,124.56,62.16,157.04,0,False
22,e2--1of1.json,36478,0,6.83,132.33,65.41,157.5,0,False
39,f4--1of1.json,56453,0,6.85,136.18,67.06,249.1,0,False
56,f6--1of1.json,19599,0,6.9,118.52,59.67,74.93,0,False
12,fa--1of1.json,17851,0,6.63,104.49,52.67,66.24,4,False
0,fc--1of1.json,80,0,6.0,121.6,59.25,0.29,0,False
