,json_name,#R,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
24,00--1of1.json,750,9.11,233.14,111.64,3.46,0,False
33,02--1of2.json,93824,5.93,146.22,71.6,280.04,10,False
57,02--2of2.json,46443,5.76,127.75,63.41,126.66,12,False
56,03--1of1.json,11576,5.57,104.66,53.22,26.63,0,False
46,04--1of1.json,14846,5.58,106.38,54.09,34.77,1,False
35,0b--1of1.json,141914,5.91,144.05,70.5,417.48,36,False
27,0c--1of1.json,256,13.0,298.0,146.25,1.64,0,False
36,0e--1of1.json,32941,5.8,124.56,62.1,87.6,13,False
17,0f--1of1.json,15440,5.51,104.4,52.95,36.56,2,False
2,10--1of1.json,384,6.01,138.46,67.47,1.11,0,False
39,1b--1of1.json,12859,5.75,110.12,55.82,32.31,11,False
7,1d--1of1.json,53094,5.88,134.22,66.35,148.13,13,False
54,1e--1of1.json,28229,5.92,121.75,61.04,76.39,8,False
6,26--1of1.json,33828,5.8,121.86,60.8,88.39,13,False
63,35--1of2.json,16777,5.44,102.78,52.05,37.59,0,False
34,35--2of2.json,7,11.71,384.29,182.71,0.05,0,False
9,38--1of1.json,11023,5.77,111.27,56.42,26.88,3,False
43,3b--1of1.json,450,10.0,172.24,87.01,1.69,0,False
10,44--1of1.json,33595,5.76,125.22,62.36,89.28,10,False
62,46--1of1.json,4312,6.96,251.93,119.67,19.77,0,False
28,48--1of1.json,40000,6.84,130.12,64.39,110.94,0,False
41,4d--1of1.json,90,8.0,195.02,95.42,0.33,0,False
30,4e--1of1.json,15272,5.71,111.09,56.05,37.22,7,False
8,51--1of1.json,14996,5.67,110.84,56.06,36.05,5,False
0,54--1of1.json,30000,6.82,129.58,64.15,83.78,0,False
42,55--1of2.json,3,7.67,278.0,133.67,0.01,0,False
12,55--2of2.json,48,8.48,107.5,58.88,0.15,0,False
31,5b--1of1.json,146879,5.92,144.31,70.63,433.85,10,False
5,5d--1of1.json,54745,5.69,134.09,66.13,152.73,18,False
48,5e--1of1.json,39,8.0,122.92,65.56,0.12,0,False
11,67--1of1.json,13737,5.58,103.69,52.89,32.41,2,False
52,68--1of3.json,19324,5.78,112.51,56.83,48.92,8,False
15,68--2of3.json,12739,5.78,112.97,57.22,32.53,4,False
13,68--3of3.json,5760,15.21,304.4,148.82,37.33,0,False
26,6a--1of1.json,3,9.67,108.0,60.0,0.01,0,False
19,70--1of1.json,43468,5.63,128.9,63.87,117.52,16,False
4,71--1of1.json,37036,5.69,131.1,64.8,100.99,3,False
14,77--1of1.json,22561,5.81,116.33,58.78,58.62,6,False
64,7d--1of1.json,1536,9.06,283.62,133.92,8.02,0,False
60,83--1of1.json,18637,5.82,114.08,57.6,47.55,4,False
44,84--1of1.json,91327,5.81,139.1,68.39,264.68,21,False
38,89--1of1.json,24,11.0,309.5,150.75,0.13,0,False
53,8b--1of1.json,19782,5.75,112.5,56.81,49.64,8,False
23,8d--1of1.json,27,9.04,176.96,86.19,0.14,0,False
20,99--1of1.json,70710,5.72,136.34,67.05,203.63,15,False
47,a3--1of1.json,11338,5.57,106.65,54.06,27.34,2,False
25,ac--1of1.json,1728,7.0,182.22,87.22,6.21,0,False
3,b2--1of1.json,147930,5.93,144.3,70.58,433.24,27,False
18,b4--1of1.json,1152,12.0,266.12,129.67,6.21,0,False
37,b8--1of1.json,42470,5.87,128.32,63.82,118.53,13,False
59,c1--1of1.json,20151,5.76,115.49,58.24,51.11,8,False
40,ca--1of1.json,13624,5.64,110.67,55.98,33.48,4,False
16,cb--1of1.json,288,8.75,219.75,105.42,1.22,0,False
51,cd--1of1.json,119654,5.87,141.84,69.53,348.06,41,False
29,d1--1of1.json,100244,5.89,139.56,68.63,296.38,20,False
32,d2--1of1.json,1728,13.0,301.83,148.75,10.43,0,False
1,d3--1of1.json,264,9.68,261.3,125.0,1.29,0,False
22,d9--1of1.json,20173,5.76,118.52,59.48,51.95,4,False
49,de--1of1.json,409035,6.81,129.97,64.29,1142.53,0,False
50,df--1of1.json,37059,5.88,124.72,62.24,99.84,9,False
21,e2--1of1.json,36472,5.74,132.45,65.47,101.89,6,False
58,f4--1of1.json,56447,5.72,136.28,67.12,156.83,6,False
45,f6--1of1.json,19597,5.82,118.62,59.72,51.25,2,False
61,fa--1of1.json,17851,5.44,104.59,52.71,40.82,4,False
55,fc--1of1.json,80,5.0,121.6,59.25,0.19,0,False
