,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
54,00--1of1.json,750,0,11.54,268.41,130.02,7.65,0,False
28,02--1of2.json,93063,0,6.53,153.41,75.42,697.82,771,False
44,02--2of2.json,45799,0,6.3,132.8,66.22,311.91,656,False
27,03--1of1.json,11339,0,6.03,106.65,54.59,60.3,237,False
52,04--1of1.json,14560,0,6.07,108.71,55.65,73.79,287,False
37,0b--1of1.json,140356,0,6.47,148.89,73.22,997.15,1594,False
39,0c--1of1.json,256,0,22.0,390.0,197.25,4.23,0,False
51,0e--1of1.json,32152,0,6.32,128.59,64.44,206.44,802,False
1,0f--1of1.json,15159,0,5.96,105.98,54.13,81.24,283,False
36,10--1of1.json,384,0,7.01,144.46,71.47,2.96,0,False
5,1b--1of1.json,12653,0,6.26,112.33,57.34,74.31,217,False
8,1d--1of1.json,52512,0,6.41,137.96,68.56,365.52,595,False
56,1e--1of1.json,27705,0,6.48,124.73,62.93,167.86,532,False
3,26--1of1.json,33258,0,6.3,125.29,62.85,226.64,583,False
53,35--1of2.json,16442,0,5.9,104.79,53.43,91.85,335,False
23,35--2of2.json,7,0,79.71,3487.71,1615.57,1.48,0,False
62,38--1of1.json,10846,0,6.29,113.88,58.15,56.26,180,False
32,3b--1of1.json,450,0,16.0,224.24,115.01,4.51,0,False
42,44--1of1.json,33142,0,6.28,129.09,64.61,217.1,463,False
55,46--1of1.json,4312,0,10.96,275.93,135.67,49.23,0,False
10,48--1of1.json,39912,0,5.82,129.98,64.3,251.2,88,False
24,4d--1of1.json,90,0,11.0,201.02,101.42,0.98,0,False
6,4e--1of1.json,15018,0,6.23,113.29,57.57,83.46,261,False
30,51--1of1.json,14735,0,6.19,113.12,57.62,85.39,266,False
34,54--1of1.json,29946,0,5.8,129.42,64.05,183.93,54,False
47,55--1of2.json,3,0,8.33,282.0,136.33,0.03,0,False
35,55--2of2.json,48,0,11.46,132.33,74.27,0.27,0,False
17,5b--1of1.json,145426,0,6.47,149.85,73.67,1017.4,1463,False
46,5d--1of1.json,54264,0,6.14,137.17,67.97,351.85,499,False
19,5e--1of1.json,39,0,8.0,122.92,65.56,0.23,0,False
26,67--1of1.json,13494,0,6.04,105.67,54.27,71.39,245,False
49,68--1of3.json,18997,0,6.31,115.01,58.48,107.44,335,False
22,68--2of3.json,12498,0,6.26,115.28,58.76,75.92,245,False
43,68--3of3.json,5760,0,17.69,320.98,159.14,90.9,0,False
12,6a--1of1.json,1,0,16.0,72.0,51.0,0.02,2,False
50,70--1of1.json,42826,0,6.11,132.61,66.02,279.16,658,False
14,71--1of1.json,36562,0,6.16,134.51,66.79,238.35,477,False
58,77--1of1.json,22174,0,6.36,119.35,60.69,124.66,393,False
29,7d--1of1.json,1536,0,10.06,265.88,128.23,17.61,0,False
59,83--1of1.json,18347,0,6.34,116.62,59.27,99.67,294,False
45,84--1of1.json,90368,0,6.31,143.09,70.68,623.39,980,False
40,89--1of1.json,24,0,12.0,309.5,151.75,0.22,0,False
11,8b--1of1.json,19477,0,6.26,114.68,58.31,109.07,313,False
31,8d--1of1.json,27,0,9.04,176.96,86.19,0.18,0,False
25,99--1of1.json,70052,0,6.21,140.15,69.24,482.78,673,False
2,a3--1of1.json,11092,0,6.05,108.65,55.45,59.23,248,False
13,ac--1of1.json,1728,0,9.0,194.22,95.22,14.46,0,False
7,b2--1of1.json,146425,0,6.49,149.26,73.35,1048.53,1532,False
21,b4--1of1.json,1152,0,12.0,266.12,129.67,14.66,0,False
48,b8--1of1.json,41732,0,6.41,132.56,66.27,274.63,751,False
0,c1--1of1.json,19833,0,6.29,118.21,60.0,116.31,326,False
18,ca--1of1.json,13339,0,6.14,112.8,57.45,75.6,289,False
64,cb--1of1.json,288,0,11.88,242.0,119.42,2.82,0,False
60,cd--1of1.json,118302,0,6.39,146.32,72.07,779.9,1393,False
15,d1--1of1.json,99250,0,6.4,143.69,71.0,674.55,1014,False
4,d2--1of1.json,1728,0,22.0,393.83,199.75,31.07,0,False
61,d3--1of1.json,264,0,11.98,289.53,139.64,2.57,0,False
63,d9--1of1.json,19870,0,6.29,121.57,61.38,110.2,307,False
57,de--1of1.json,408226,0,5.79,129.8,64.19,2511.82,809,False
33,df--1of1.json,36449,1,6.43,128.37,64.4,233.85,618,False
9,e2--1of1.json,36001,0,6.24,136.15,67.63,247.92,477,False
41,f4--1of1.json,55934,0,6.22,140.16,69.35,381.99,519,False
38,f6--1of1.json,19318,1,6.35,121.55,61.57,114.18,280,False
16,fa--1of1.json,17473,0,5.86,106.52,54.02,93.06,382,False
20,fc--1of1.json,80,0,6.0,131.6,64.25,0.47,0,False
