,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
31,00--1of1.json,748,2,11.54,268.3,129.97,10.54,0,False
43,02--1of2.json,92901,162,6.53,153.47,75.45,620.13,771,False
13,02--2of2.json,45696,103,6.3,132.85,66.25,295.2,656,False
53,03--1of1.json,11317,22,6.04,106.68,54.61,61.76,237,False
6,04--1of1.json,14544,16,6.07,108.72,55.66,80.37,287,False
36,0b--1of1.json,140095,261,6.47,148.92,73.24,971.38,1594,False
10,0c--1of1.json,256,0,22.0,390.0,197.25,3.85,0,False
4,0e--1of1.json,32087,65,6.33,128.62,64.47,213.69,802,False
24,0f--1of1.json,15140,19,5.96,106.0,54.14,76.28,283,False
57,10--1of1.json,384,0,7.01,144.46,71.47,2.1,0,False
23,1b--1of1.json,12636,17,6.26,112.35,57.36,71.1,217,False
29,1d--1of1.json,52413,99,6.41,138.0,68.58,338.0,595,False
25,1e--1of1.json,27681,24,6.48,124.75,62.94,171.32,532,False
32,26--1of1.json,33206,52,6.31,125.33,62.87,213.75,583,False
1,35--1of2.json,16424,18,5.9,104.81,53.44,89.41,335,False
49,35--2of2.json,7,0,79.71,3487.71,1615.57,1.41,0,False
44,38--1of1.json,10834,12,6.29,113.9,58.16,62.56,180,False
42,3b--1of1.json,450,0,16.0,224.24,115.01,4.17,0,False
21,44--1of1.json,33079,63,6.28,129.13,64.63,222.22,463,False
2,46--1of1.json,4312,0,10.96,275.93,135.67,47.46,0,False
35,48--1of1.json,39858,54,5.82,129.98,64.3,245.77,88,False
16,4d--1of1.json,90,0,11.0,201.02,101.42,0.67,0,False
37,4e--1of1.json,14996,22,6.24,113.3,57.58,80.12,261,False
3,51--1of1.json,14714,21,6.2,113.15,57.64,84.94,266,False
18,54--1of1.json,29909,37,5.81,129.42,64.06,183.44,54,False
15,55--1of2.json,3,0,8.33,282.0,136.33,0.09,0,False
11,55--2of2.json,48,0,11.46,132.33,74.27,0.46,0,False
47,5b--1of1.json,145175,251,6.48,149.9,73.69,1001.03,1463,False
41,5d--1of1.json,54140,124,6.15,137.22,68.0,345.91,499,False
38,5e--1of1.json,38,1,8.0,122.84,65.53,0.18,0,False
60,67--1of1.json,13480,14,6.05,105.69,54.28,66.69,245,False
19,68--1of3.json,18960,37,6.31,115.04,58.5,110.76,335,False
50,68--2of3.json,12480,18,6.26,115.3,58.77,69.68,245,False
56,68--3of3.json,5760,0,17.69,320.98,159.14,83.01,0,False
51,6a--1of1.json,1,0,16.0,72.0,51.0,0.01,2,False
59,70--1of1.json,42748,78,6.12,132.62,66.03,243.35,658,False
52,71--1of1.json,36489,73,6.16,134.54,66.81,225.79,477,False
39,77--1of1.json,22144,30,6.36,119.38,60.7,129.83,393,False
5,7d--1of1.json,1536,0,10.06,265.88,128.23,18.15,0,False
8,83--1of1.json,18325,22,6.35,116.62,59.28,105.97,294,False
7,84--1of1.json,90177,191,6.32,143.12,70.7,619.34,980,False
26,89--1of1.json,24,0,12.0,309.5,151.75,0.35,0,False
55,8b--1of1.json,19443,34,6.26,114.7,58.32,105.52,313,False
61,8d--1of1.json,27,0,9.04,176.96,86.19,0.17,0,False
62,99--1of1.json,69894,158,6.22,140.18,69.27,417.82,673,False
0,a3--1of1.json,11074,18,6.05,108.69,55.47,58.89,248,False
48,ac--1of1.json,1728,0,9.0,194.22,95.22,13.84,0,False
14,b2--1of1.json,146129,296,6.5,149.3,73.38,1002.44,1532,False
54,b4--1of1.json,1152,0,12.0,266.12,129.67,12.14,0,False
33,b8--1of1.json,41657,75,6.42,132.62,66.3,263.19,751,False
22,c1--1of1.json,19811,22,6.29,118.24,60.01,121.3,326,False
20,ca--1of1.json,13320,19,6.14,112.82,57.47,71.98,289,False
58,cb--1of1.json,288,0,11.88,242.0,119.42,3.19,0,False
12,cd--1of1.json,118063,239,6.4,146.36,72.1,780.46,1393,False
27,d1--1of1.json,99045,205,6.41,143.73,71.02,642.24,1014,False
34,d2--1of1.json,1728,0,22.0,393.83,199.75,31.67,0,False
28,d3--1of1.json,264,0,11.98,289.53,139.64,2.6,0,False
45,d9--1of1.json,19842,28,6.29,121.6,61.4,121.58,307,False
64,de--1of1.json,407754,472,5.79,129.8,64.2,2607.66,809,False
17,df--1of1.json,36392,58,6.43,128.4,64.42,231.08,618,False
9,e2--1of1.json,35920,81,6.24,136.18,67.65,243.84,477,False
46,f4--1of1.json,55791,143,6.23,140.2,69.38,345.95,519,False
30,f6--1of1.json,19300,19,6.35,121.57,61.58,114.53,280,False
40,fa--1of1.json,17447,26,5.86,106.54,54.03,88.76,382,False
63,fc--1of1.json,80,0,6.0,131.6,64.25,0.35,0,False
