,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
8,00--1of1.json,750,0,11.54,268.41,130.02,7.01,0,False
43,02--1of2.json,92689,374,6.54,153.56,75.5,847.01,771,False
10,02--2of2.json,45085,714,6.34,133.14,66.43,601.05,656,False
35,03--1of1.json,11148,191,6.07,106.98,54.79,182.82,237,False
33,04--1of1.json,14335,225,6.1,109.02,55.84,240.97,287,False
32,0b--1of1.json,138454,1902,6.51,149.29,73.44,1290.62,1594,False
38,0c--1of1.json,256,0,22.0,390.0,197.25,3.73,0,False
19,0e--1of1.json,31763,389,6.35,128.86,64.61,534.71,802,False
64,0f--1of1.json,14912,247,6.0,106.3,54.32,71.3,283,False
23,10--1of1.json,384,0,7.01,144.46,71.47,2.29,0,False
34,1b--1of1.json,12493,160,6.29,112.54,57.47,231.8,217,False
22,1d--1of1.json,51837,675,6.44,138.27,68.74,649.32,595,False
30,1e--1of1.json,27441,264,6.51,124.99,63.08,319.1,532,False
40,26--1of1.json,32790,468,6.34,125.6,63.04,535.01,583,False
21,35--1of2.json,16169,273,5.93,105.07,53.6,79.81,335,False
6,35--2of2.json,7,0,79.71,3487.71,1615.57,1.42,0,False
62,38--1of1.json,10703,143,6.33,114.16,58.31,53.99,180,False
51,3b--1of1.json,450,0,16.0,224.24,115.01,3.83,0,False
14,44--1of1.json,32659,483,6.32,129.4,64.81,540.84,463,False
1,46--1of1.json,4312,0,10.96,275.93,135.67,45.59,0,False
11,48--1of1.json,35182,4730,6.19,130.73,65.08,567.57,88,False
2,4d--1of1.json,90,0,11.0,201.02,101.42,0.72,0,False
7,4e--1of1.json,14828,190,6.27,113.45,57.68,72.76,261,False
60,51--1of1.json,14531,204,6.23,113.26,57.73,73.52,266,False
59,54--1of1.json,26411,3535,6.17,130.1,64.8,160.16,54,False
37,55--1of2.json,3,0,8.33,282.0,136.33,0.02,0,False
16,55--2of2.json,48,0,11.46,132.33,74.27,0.3,0,False
45,5b--1of1.json,144781,645,6.49,150.03,73.76,1169.79,1463,False
56,5d--1of1.json,53386,878,6.19,137.45,68.15,319.9,499,False
47,5e--1of1.json,39,0,8.0,122.92,65.56,0.19,0,False
15,67--1of1.json,13280,214,6.08,105.98,54.46,63.68,245,False
36,68--1of3.json,18761,236,6.34,115.21,58.61,446.45,335,False
46,68--2of3.json,12345,153,6.29,115.54,58.91,282.1,245,False
17,68--3of3.json,5760,0,17.69,320.98,159.14,77.87,0,False
61,6a--1of1.json,1,0,16.0,72.0,51.0,0.01,2,False
44,70--1of1.json,42256,570,6.15,132.9,66.19,467.33,658,False
27,71--1of1.json,36041,521,6.19,134.77,66.95,548.82,477,False
52,77--1of1.json,21883,291,6.39,119.58,60.83,300.21,393,False
39,7d--1of1.json,1536,0,10.06,265.88,128.23,16.06,0,False
31,83--1of1.json,18118,229,6.37,116.77,59.37,91.29,294,False
48,84--1of1.json,88787,1581,6.36,143.41,70.88,717.93,980,False
13,89--1of1.json,24,0,12.0,309.5,151.75,0.25,0,False
28,8b--1of1.json,19247,230,6.29,114.89,58.43,102.73,313,False
24,8d--1of1.json,27,0,9.04,176.96,86.19,0.18,0,False
18,99--1of1.json,68812,1240,6.26,140.53,69.47,764.43,673,False
0,a3--1of1.json,10930,162,6.08,108.79,55.55,54.9,248,False
50,ac--1of1.json,1728,0,9.0,194.22,95.22,13.55,0,False
4,b2--1of1.json,145534,891,6.51,149.5,73.48,1273.5,1532,False
58,b4--1of1.json,1152,0,12.0,266.12,129.67,12.24,0,False
53,b8--1of1.json,41196,536,6.45,132.88,66.45,431.32,751,False
5,c1--1of1.json,19563,270,6.33,118.52,60.18,246.3,326,False
42,ca--1of1.json,13120,219,6.18,112.95,57.57,231.25,289,False
49,cb--1of1.json,288,0,11.88,242.0,119.42,2.52,0,False
9,cd--1of1.json,116585,1717,6.43,146.76,72.31,1087.41,1393,False
20,d1--1of1.json,97707,1543,6.45,144.04,71.21,947.0,1014,False
57,d2--1of1.json,1728,0,22.0,393.83,199.75,28.96,0,False
29,d3--1of1.json,264,0,11.98,289.53,139.64,2.41,0,False
3,d9--1of1.json,19661,209,6.31,121.8,61.52,246.24,307,False
41,de--1of1.json,408159,67,5.79,129.81,64.2,2831.55,809,False
63,df--1of1.json,36097,353,6.46,128.62,64.55,202.0,618,False
25,e2--1of1.json,35532,469,6.27,136.39,67.78,554.44,477,False
55,f4--1of1.json,54961,973,6.27,140.52,69.57,495.59,519,False
26,f6--1of1.json,19086,233,6.38,121.83,61.73,107.54,280,False
12,fa--1of1.json,17220,253,5.89,106.75,54.15,80.1,382,False
54,fc--1of1.json,80,0,6.0,131.6,64.25,0.34,0,False
