,json_name,#R,#R_blk,#M_per_R,#E_per_R,#A_per_R,cost,#bad_reac,buggy
63,00--1of1.json,750,0,11.54,268.41,130.02,7.58,0,False
58,02--1of2.json,93063,0,6.53,153.41,75.42,642.34,771,False
40,02--2of2.json,45799,0,6.3,132.8,66.22,281.49,656,False
61,03--1of1.json,11339,0,6.03,106.65,54.59,55.11,237,False
13,04--1of1.json,14560,0,6.07,108.71,55.65,69.61,287,False
57,0b--1of1.json,140356,0,6.47,148.89,73.22,926.34,1594,False
49,0c--1of1.json,256,0,22.0,390.0,197.25,3.87,0,False
44,0e--1of1.json,32152,0,6.32,128.59,64.44,180.85,802,False
10,0f--1of1.json,15159,0,5.96,105.98,54.13,71.91,283,False
0,10--1of1.json,384,0,7.01,144.46,71.47,2.19,0,False
64,1b--1of1.json,12653,0,6.26,112.33,57.34,63.25,217,False
53,1d--1of1.json,52512,0,6.41,137.96,68.56,313.28,595,False
42,1e--1of1.json,27705,0,6.48,124.73,62.93,152.01,532,False
4,26--1of1.json,33258,0,6.3,125.29,62.85,195.92,583,False
46,35--1of2.json,16442,0,5.9,104.79,53.43,80.73,335,False
21,35--2of2.json,7,0,79.71,3487.71,1615.57,1.41,0,False
59,38--1of1.json,10846,0,6.29,113.88,58.15,53.65,180,False
20,3b--1of1.json,450,0,16.0,224.24,115.01,4.21,0,False
35,44--1of1.json,33142,0,6.28,129.09,64.61,185.66,463,False
16,46--1of1.json,4312,0,10.96,275.93,135.67,43.1,0,False
48,48--1of1.json,39912,0,5.82,129.98,64.3,230.37,88,False
9,4d--1of1.json,90,0,11.0,201.02,101.42,0.69,0,False
47,4e--1of1.json,15018,0,6.23,113.29,57.57,79.8,261,False
18,51--1of1.json,14735,0,6.19,113.12,57.62,77.04,266,False
36,54--1of1.json,29946,0,5.8,129.42,64.05,171.16,54,False
24,55--1of2.json,3,0,8.33,282.0,136.33,0.03,0,False
34,55--2of2.json,48,0,11.46,132.33,74.27,0.24,0,False
41,5b--1of1.json,145426,0,6.47,149.85,73.67,922.6,1463,False
33,5d--1of1.json,54264,0,6.14,137.17,67.97,341.13,499,False
39,5e--1of1.json,39,0,8.0,122.92,65.56,0.17,0,False
23,67--1of1.json,13494,0,6.04,105.67,54.27,66.01,245,False
17,68--1of3.json,18997,0,6.31,115.01,58.48,102.24,335,False
7,68--2of3.json,12498,0,6.26,115.28,58.76,64.94,245,False
27,68--3of3.json,5760,0,17.69,320.98,159.14,74.4,0,False
31,6a--1of1.json,1,0,16.0,72.0,51.0,0.01,2,False
50,70--1of1.json,42826,0,6.11,132.61,66.02,251.93,658,False
56,71--1of1.json,36562,0,6.16,134.51,66.79,220.75,477,False
43,77--1of1.json,22174,0,6.36,119.35,60.69,114.5,393,False
37,7d--1of1.json,1536,0,10.06,265.88,128.23,16.62,0,False
11,83--1of1.json,18347,0,6.34,116.62,59.27,98.46,294,False
62,84--1of1.json,90368,0,6.31,143.09,70.68,558.59,980,False
38,89--1of1.json,24,0,12.0,309.5,151.75,0.22,0,False
12,8b--1of1.json,19477,0,6.26,114.68,58.31,100.89,313,False
32,8d--1of1.json,27,0,9.04,176.96,86.19,0.16,0,False
28,99--1of1.json,70052,0,6.21,140.15,69.24,423.92,673,False
2,a3--1of1.json,11092,0,6.05,108.65,55.45,53.97,248,False
1,ac--1of1.json,1728,0,9.0,194.22,95.22,13.53,0,False
60,b2--1of1.json,146425,0,6.49,149.26,73.35,924.36,1532,False
45,b4--1of1.json,1152,0,12.0,266.12,129.67,12.23,0,False
22,b8--1of1.json,41732,0,6.41,132.56,66.27,243.68,751,False
6,c1--1of1.json,19833,0,6.29,118.21,60.0,104.57,326,False
15,ca--1of1.json,13339,0,6.14,112.8,57.45,67.01,289,False
29,cb--1of1.json,288,0,11.88,242.0,119.42,2.35,0,False
26,cd--1of1.json,118302,0,6.39,146.32,72.07,749.96,1393,False
19,d1--1of1.json,99250,0,6.4,143.69,71.0,660.12,1014,False
55,d2--1of1.json,1728,0,22.0,393.83,199.75,28.96,0,False
54,d3--1of1.json,264,0,11.98,289.53,139.64,2.43,0,False
25,d9--1of1.json,19870,0,6.29,121.57,61.38,111.02,307,False
8,de--1of1.json,408226,0,5.79,129.8,64.19,2562.01,809,False
51,df--1of1.json,36450,0,6.43,128.37,64.4,206.17,618,False
5,e2--1of1.json,36001,0,6.24,136.15,67.63,213.95,477,False
30,f4--1of1.json,55934,0,6.22,140.16,69.35,359.6,519,False
3,f6--1of1.json,19319,0,6.35,121.54,61.56,103.46,280,False
52,fa--1of1.json,17473,0,5.86,106.52,54.02,80.59,382,False
14,fc--1of1.json,80,0,6.0,131.6,64.25,0.4,0,False
